Product Id,Model ,Partner ,SKU ,Workload Profile,Raw Storage Capacity,IOPS,Number Of VMs,ESXi Pre-Installed?,Optional Features,Product URL,Releases
41789,AF-6:Cisco UCS C240 M5,Cisco,UCS-VSAN-C240M5-AF-9-6TB-RI,AF-6 Series,9.6,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=41789&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.0 U3 (vSAN 6.2 Update 3)"
41813,AF-6: Cisco UCS C220 M5,Cisco,UCS-VSAN-C220M5-AF-9-6TB-RI,AF-6 Series,9.6,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=41813&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.0 U3 (vSAN 6.2 Update 3)"
42656,AF-6-Cisco-UCS C240 M5,Cisco,UCS-VSAN-C240M5NAF6,AF-6 Series,12.8,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42656&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.0 U3 (vSAN 6.2 Update 3)"
42187,AF-8-Cisco-UCS C240 M5,Cisco,UCS-VSAN-C240M5-AF-32TB-C,AF-8 Series,32,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42187&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.0 U3 (vSAN 6.2 Update 3)"
39808,AF-6: Cisco UCS C240 M4,Cisco,UCS-vSAN-C240M4-AF-EXP1,AF-6 Series,6.72,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=39808&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0)"
40926,AF-6: Cisco UCS C240 M4,Cisco,UCS-vSAN-C240M4-AF1-11TB,AF-6 Series,11.2,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=40926&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1)"
41346,AF6: Cisco UCS C220 M4,Cisco,UCS-vSAN-C220M4-AF-EXP1,AF-6 Series,11.2,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=41346&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1)"
41347,AF-6: Cisco UCS C240 M4,Cisco,UCS-vSAN-C240M4-AF1-26TB,AF-6 Series,26.6,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=41347&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1)"
40887,AF-8: Cisco UCS C240 M4,Cisco,UCS-vSAN-C240M4-AF2-22TB,AF-8 Series,22.4,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=40887&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1)"
41348,AF-8: Cisco UCS C240 M4,Cisco,UCS-vSAN-C240M4-AF2-53TB,AF-8 Series,53.2,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=41348&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1)"
41349,AF-8: Cisco UCS C240 M4,Cisco,UCS-VSAN-C240M4-AF3-79TB,AF-8 Series,79.8,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=41349&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1)"
41350,AF-8: Cisco UCS C240 M4,Cisco,UCS-vSAN-C240M4-AF3-33TB,AF-8 Series,33.6,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=41350&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1)"
41351,AF-8: Cisco UCS C240 M4,Cisco,UCS-vSAN-C240M4-AF4-32TB,AF-8 Series,32,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=41351&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1)"
41392,AF-4: Cisco UCS B200 M4,Cisco,UCS-vSAN-B200M4-3-8TB,AF-4 Series,3.8,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=41392&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1)"
42547,AF-4-Cisco-UCS B200 M5,Cisco,UCS-VSAN-B200M5-7TB,AF-4 Series,7.6,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42547&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1)"
