Product Id,Model ,Partner ,SKU ,Workload Profile,Raw Storage Capacity,IOPS,Number Of VMs,ESXi Pre-Installed?,Optional Features,Product URL,Releases
39325,HY-6: Inspur NF5280M4,Inspur,InspurQuote:vSAN Medium NF5280M4,HY-6 Series,8,,,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=39325&vsanrncomp=true&vcl=true,"ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
39326,HY-8: Inspur TS860,Inspur,InspurQuote:vSAN High TS860,HY-8 Series,14.4,,,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=39326&vsanrncomp=true&vcl=true,"ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
39945,HY2-Intel-S2600TP,Intel,VRN2224THY2,HY-2 Series,2.4,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=39945&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0)"
39946,HY4-Intel-S2600TP,Intel,VRN2224THY4,HY-4 Series,4.8,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=39946&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0)"
39947,HY6-Intel-S2600TP,Intel,VRN2224THY6,HY-6 Series,8,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=39947&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0)"
40055,HY8-Intel-WCP,Intel,VRN2208WHY8,HY-8 Series,14.4,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=40055&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
42697,HY-2-Lenovo-ThinkSystem SR650,Lenovo,7X05CTO1WW,HY-2 Series,2.4,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42697&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1)"
42698,HY-2-Lenovo-ThinkSystem SR630,Lenovo,7X05CTO1WW,HY-2 Series,2.4,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42698&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1)"
42956,HY-2 Lenovo ThinkAgile VX7520,Lenovo,7Y14CTO2WW,HY-2 Series,2.4,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42956&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1)"
42957,HY-2 Lenovo ThinkAgile VX3320,Lenovo,7Y13CTO1WW,HY-2 Series,2.4,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42957&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1)"
42695,HY-4-Lenovo-ThinkSystem SR650,Lenovo,7X05CTO1WW,HY-4 Series,4.8,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42695&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1)"
42696,HY-4-Lenovo-ThinkSystem SR630,Lenovo,7X05CTO1WW,HY-4 Series,4.8,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42696&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1)"
42958,HY-4 Lenovo ThinkAgile VX7520,Lenovo,7Y14CTO2WW,HY-4 Series,4.8,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42958&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1)"
42959,HY-4 Lenovo ThinkAgile VX3320,Lenovo,7Y13CTO1WW,HY-4 Series,4.8,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42959&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1)"
42689,HY-6-Lenovo-ThinkSystem SR650,Lenovo,7X05CTO1WW,HY-6 Series,9.6,0,0,No,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=vsan&productid=42689&vsanrncomp=true&vcl=true,"ESXi 6.5.0d (vSAN 6.6), ESXi 6.5 U1 (vSAN 6.6.1)"
